m gam aeat p isp o/f
2.1296*10 1.2431  2.6200*10 5.6463*0.1 2.9513  5.5000 
2.1296*10 1.2442  2.7500*10 5.2948*0.1 2.9612  5.5000 
2.1296*10 1.2461  3.0000*10 4.7176*0.1 2.9786  5.5000 
2.1296*10 1.2479  3.2500*10 4.2426*0.1 2.9942  5.5000 
2.1296*10 1.2496  3.5000*10 3.8457*0.1 3.0083  5.5000 
2.1296*10 1.2512  3.7500*10 3.5098*0.1 3.0211  5.5000 
2.1398*10 1.1823  0.0000  1.6500*100 0.0000  5.6000 
2.1398*10 1.1854  1.0000  9.3598*10 1.1155  5.6000 
2.1398*10 1.2215  1.0000*10 2.0518  2.7216  5.6000 
2.1398*10 1.2257  1.2500*10 1.5202  2.7832  5.6000 
2.1398*10 1.2294  1.5000*10 1.1913  2.8300  5.6000 
2.1398*10 1.2325  1.7500*10 9.6998*0.1 2.8674  5.6000 
2.1398*10 1.2353  2.0000*10 8.1211*0.1 2.8983  5.6000 
2.1398*10 1.2379  2.2500*10 6.9449*0.1 2.9244  5.6000 
2.1398*10 1.2402  2.5000*10 6.0389*0.1 2.9469  5.6000 
2.1398*10 1.2412  2.6200*10 5.6750*0.1 2.9567  5.6000 
2.1398*10 1.2423  2.7500*10 5.3222*0.1 2.9666  5.6000 
2.1398*10 1.2442  3.0000*10 4.7427*0.1 2.9841  5.6000 
2.1398*10 1.2460  3.2500*10 4.2658*0.1 2.9998  5.6000 
2.1398*10 1.2477  3.5000*10 3.8672*0.1 3.0139  5.6000 
2.1398*10 1.2492  3.7500*10 3.5298*0.1 3.0269  5.6000 
2.1495*10 1.1814  0.0000  1.6500*100 0.0000  5.7000 
2.1495*10 1.1844  1.0000  9.3630*10 1.1150  5.7000 
2.1495*10 1.2200  1.0000*10 2.0585  2.7253  5.7000 
2.1495*10 1.2242  1.2500*10 1.5257  2.7872  5.7000 
2.1495*10 1.2278  1.5000*10 1.1959  2.8343  5.7000 
2.1495*10 1.2309  1.7500*10 9.7393*0.1 2.8719  5.7000 
2.1495*10 1.2337  2.0000*10 8.1559*0.1 2.9029  5.7000 
2.1495*10 1.2362  2.2500*10 6.9760*0.1 2.9292  5.7000 
2.1495*10 1.2384  2.5000*10 6.0669*0.1 2.9518  5.7000 
2.1495*10 1.2394  2.6200*10 5.7017*0.1 2.9616  5.7000 
2.1495*10 1.2405  2.7500*10 5.3476*0.1 2.9716  5.7000 
2.1495*10 1.2424  3.0000*10 4.7661*0.1 2.9892  5.7000 
2.1495*10 1.2442  3.2500*10 4.2874*0.1 3.0050  5.7000 
2.1495*10 1.2459  3.5000*10 3.8873*0.1 3.0193  5.7000 
2.1495*10 1.2474  3.7500*10 3.5485*0.1 3.0323  5.7000 
2.1588*10 1.1806  0.0000  1.6500*100 0.0000  5.8000 
2.1588*10 1.1836  1.0000  9.3657*10 1.1143  5.8000 
2.1588*10 1.2186  1.0000*10 2.0647  2.7287  5.8000 
2.1588*10 1.2228  1.2500*10 1.5307  2.7909  5.8000 
2.1588*10 1.2263  1.5000*10 1.2001  2.8383  5.8000 
2.1588*10 1.2294  1.7500*10 9.7759*0.1 2.8760  5.8000 
2.1588*10 1.2321  2.0000*10 8.1880*0.1 2.9072  5.8000 
2.1588*10 1.2346  2.2500*10 7.0047*0.1 2.9336  5.8000 
2.1588*10 1.2368  2.5000*10 6.0928*0.1 2.9564  5.8000 
2.1588*10 1.2378  2.6200*10 5.7264*0.1 2.9663  5.8000 
2.1588*10 1.2389  2.7500*10 5.3712*0.1 2.9764  5.8000 
2.1588*10 1.2408  3.0000*10 4.7877*0.1 2.9941  5.8000 
2.1588*10 1.2426  3.2500*10 4.3074*0.1 3.0099  5.8000 
2.1588*10 1.2442  3.5000*10 3.9058*0.1 3.0243  5.8000 
2.1588*10 1.2457  3.7500*10 3.5658*0.1 3.0373  5.8000 
2.1676*10 1.1799  0.0000  1.6500*100 0.0000  5.9000 
2.1676*10 1.1828  1.0000  9.3682*10 1.1135  5.9000 
2.1676*10 1.2174  1.0000*10 2.0704  2.7317  5.9000 
2.1676*10 1.2215  1.2500*10 1.5354  2.7943  5.9000 
