m gam aeat p isp o/f
2.2497*10 1.2292  2.7500*10 5.5181*0.1 2.9890  7.4000 
2.2497*10 1.2310  3.0000*10 4.9224*0.1 3.0083  7.4000 
2.2497*10 1.2326  3.2500*10 4.4317*0.1 3.0256  7.4000 
2.2497*10 1.2342  3.5000*10 4.0213*0.1 3.0413  7.4000 
2.2497*10 1.2356  3.7500*10 3.6736*0.1 3.0555  7.4000 
2.2526*10 1.1752  0.0000  1.6500*100 0.0000  7.5000 
2.2526*10 1.1780  1.0000  9.3841*10 1.0879  7.5000 
2.2526*10 1.2105  1.0000*10 2.1035  2.7157  7.5000 
2.2526*10 1.2143  1.2500*10 1.5621  2.7822  7.5000 
2.2526*10 1.2176  1.5000*10 1.2265  2.8330  7.5000 
2.2526*10 1.2205  1.7500*10 1.0003  2.8736  7.5000 
2.2526*10 1.2230  2.0000*10 8.3873*0.1 2.9071  7.5000 
2.2526*10 1.2253  2.2500*10 7.1822*0.1 2.9356  7.5000 
2.2526*10 1.2274  2.5000*10 6.2529*0.1 2.9602  7.5000 
2.2526*10 1.2283  2.6200*10 5.8792*0.1 2.9708  7.5000 
2.2526*10 1.2293  2.7500*10 5.5169*0.1 2.9817  7.5000 
2.2526*10 1.2311  3.0000*10 4.9213*0.1 3.0008  7.5000 
2.2526*10 1.2328  3.2500*10 4.4307*0.1 3.0180  7.5000 
2.2526*10 1.2343  3.5000*10 4.0203*0.1 3.0335  7.5000 
2.2526*10 1.2358  3.7500*10 3.6727*0.1 3.0477  7.5000 
2.2553*10 1.1752  0.0000  1.6500*100 0.0000  7.6000 
2.2553*10 1.1780  1.0000  9.3840*10 1.0862  7.6000 
2.2553*10 1.2106  1.0000*10 2.1031  2.7099  7.6000 
2.2553*10 1.2145  1.2500*10 1.5617  2.7760  7.6000 
2.2553*10 1.2177  1.5000*10 1.2261  2.8265  7.6000 
2.2553*10 1.2206  1.7500*10 1.0000  2.8668  7.6000 
2.2553*10 1.2232  2.0000*10 8.3849*0.1 2.9001  7.6000 
2.2553*10 1.2255  2.2500*10 7.1800*0.1 2.9284  7.6000 
2.2553*10 1.2275  2.5000*10 6.2508*0.1 2.9528  7.6000 
2.2553*10 1.2285  2.6200*10 5.8773*0.1 2.9634  7.6000 
2.2553*10 1.2295  2.7500*10 5.5150*0.1 2.9741  7.6000 
2.2553*10 1.2313  3.0000*10 4.9196*0.1 2.9931  7.6000 
2.2553*10 1.2329  3.2500*10 4.4291*0.1 3.0102  7.6000 
2.2553*10 1.2345  3.5000*10 4.0188*0.1 3.0256  7.6000 
2.2553*10 1.2359  3.7500*10 3.6713*0.1 3.0396  7.6000 
2.2578*10 1.1752  0.0000  1.6500*100 0.0000  7.7000 
2.2578*10 1.1780  1.0000  9.3839*10 1.0844  7.7000 
2.2578*10 1.2108  1.0000*10 2.1025  2.7040  7.7000 
2.2578*10 1.2146  1.2500*10 1.5613  2.7697  7.7000 
2.2578*10 1.2179  1.5000*10 1.2257  2.8198  7.7000 
2.2578*10 1.2208  1.7500*10 9.9964*0.1 2.8598  7.7000 
2.2578*10 1.2233  2.0000*10 8.3816*0.1 2.8929  7.7000 
2.2578*10 1.2256  2.2500*10 7.1770*0.1 2.9210  7.7000 
2.2578*10 1.2277  2.5000*10 6.2481*0.1 2.9452  7.7000 
2.2578*10 1.2287  2.6200*10 5.8747*0.1 2.9558  7.7000 
2.2578*10 1.2297  2.7500*10 5.5125*0.1 2.9665  7.7000 
2.2578*10 1.2315  3.0000*10 4.9173*0.1 2.9853  7.7000 
2.2578*10 1.2331  3.2500*10 4.4269*0.1 3.0022  7.7000 
2.2578*10 1.2347  3.5000*10 4.0168*0.1 3.0175  7.7000 
2.2578*10 1.2361  3.7500*10 3.6694*0.1 3.0315  7.7000 
2.2601*10 1.1752  0.0000  1.6500*100 0.0000  7.8000 
2.2601*10 1.1781  1.0000  9.3837*10 1.0827  7.8000 
2.2601*10 1.2110  1.0000*10 2.1018  2.6979  7.8000 
2.2601*10 1.2148  1.2500*10 1.5606  2.7632  7.8000 
2.2601*10 1.2181  1.5000*10 1.2252  2.8130  7.8000 
2.2601*10 1.2210  1.7500*10 9.9919*0.1 2.8528  7.8000 
2.2601*10 1.2236  2.0000*10 8.3775*0.1 2.8857  7.8000 
2.2601*10 1.2259  2.2500*10 7.1734*0.1 2.9136  7.8000 
2.2601*10 1.2280  2.5000*10 6.2448*0.1 2.9376  7.8000 
2.2601*10 1.2289  2.6200*10 5.8715*0.1 2.9481  7.8000 
2.2601*10 1.2299  2.7500*10 5.5095*0.1 2.9587  7.8000 
2.2601*10 1.2317  3.0000*10 4.9145*0.1 2.9775  7.8000 
2.2601*10 1.2334  3.2500*10 4.4243*0.1 2.9943  7.8000 
2.2601*10 1.2349  3.5000*10 4.0144*0.1 3.0094  7.8000 
2.2601*10 1.2364  3.7500*10 3.6671*0.1 3.0233  7.8000 
2.2623*10 1.1753  0.0000  1.6500*100 0.0000  7.9000 
2.2623*10 1.1782  1.0000  9.3834*10 1.0810  7.9000 
2.2623*10 1.2112  1.0000*10 2.1009  2.6917  7.9000 
2.2623*10 1.2151  1.2500*10 1.5599  2.7567  7.9000 
2.2623*10 1.2184  1.5000*10 1.2246  2.8062  7.9000 
2.2623*10 1.2212  1.7500*10 9.9866*0.1 2.8457  7.9000 
2.2623*10 1.2238  2.0000*10 8.3728*0.1 2.8784  7.9000 
2.2623*10 1.2261  2.2500*10 7.1691*0.1 2.9061  7.9000 
2.2623*10 1.2282  2.5000*10 6.2409*0.1 2.9300  7.9000 
2.2623*10 1.2292  2.6200*10 5.8678*0.1 2.9404  7.9000 
2.2623*10 1.2302  2.7500*10 5.5059*0.1 2.9510  7.9000 
2.2623*10 1.2320  3.0000*10 4.9112*0.1 2.9696  7.9000 
2.2623*10 1.2336  3.2500*10 4.4213*0.1 2.9863  7.9000 
2.2623*10 1.2352  3.5000*10 4.0116*0.1 3.0014  7.9000 
2.2623*10 1.2367  3.7500*10 3.6644*0.1 3.0151  7.9000 
2.2643*10 1.1754  0.0000  1.6500*100 0.0000  8.0000 
2.2643*10 1.1783  1.0000  9.3831*10 1.0792  8.0000 
2.2643*10 1.2114  1.0000*10 2.0999  2.6855  8.0000 
2.2643*10 1.2153  1.2500*10 1.5591  2.7501  8.0000 
2.2643*10 1.2186  1.5000*10 1.2239  2.7993  8.0000 
2.2643*10 1.2215  1.7500*10 9.9805*0.1 2.8386  8.0000 
2.2643*10 1.2241  2.0000*10 8.3674*0.1 2.8711  8.0000 
2.2643*10 1.2264  2.2500*10 7.1643*0.1 2.8986  8.0000 
2.2643*10 1.2285  2.5000*10 6.2366*0.1 2.9224  8.0000 
2.2643*10 1.2295  2.6200*10 5.8636*0.1 2.9327  8.0000 
2.2643*10 1.2305  2.7500*10 5.5019*0.1 2.9433  8.0000 
2.2643*10 1.2323  3.0000*10 4.9075*0.1 2.9617  8.0000 
2.2643*10 1.2339  3.2500*10 4.4179*0.1 2.9783  8.0000 
2.2643*10 1.2355  3.5000*10 4.0084*0.1 2.9933  8.0000 
2.2643*10 1.2370  3.7500*10 3.6614*0.1 3.0070  8.0000 
2.2662*10 1.1755  0.0000  1.6500*100 0.0000  8.1000 
2.2662*10 1.1784  1.0000  9.3827*10 1.0775  8.1000 
2.2662*10 1.2117  1.0000*10 2.0988  2.6793  8.1000 
2.2662*10 1.2156  1.2500*10 1.5582  2.7435  8.1000 
2.2662*10 1.2189  1.5000*10 1.2231  2.7924  8.1000 
2.2662*10 1.2218  1.7500*10 9.9739*0.1 2.8315  8.1000 
2.2662*10 1.2244  2.0000*10 8.3615*0.1 2.8638  8.1000 
2.2662*10 1.2267  2.2500*10 7.1590*0.1 2.8912  8.1000 
2.2662*10 1.2289  2.5000*10 6.2317*0.1 2.9148  8.1000 
2.2662*10 1.2298  2.6200*10 5.8590*0.1 2.9251  8.1000 
2.2662*10 1.2308  2.7500*10 5.4975*0.1 2.9355  8.1000 
2.2662*10 1.2326  3.0000*10 4.9034*0.1 2.9539  8.1000 
2.2662*10 1.2343  3.2500*10 4.4141*0.1 2.9704  8.1000 
2.2662*10 1.2358  3.5000*10 4.0048*0.1 2.9853  8.1000 
2.2662*10 1.2373  3.7500*10 3.6582*0.1 2.9989  8.1000 
2.2679*10 1.1756  0.0000  1.6500*100 0.0000  8.2000 
2.2679*10 1.1785  1.0000  9.3823*10 1.0757  8.2000 
2.2679*10 1.2120  1.0000*10 2.0976  2.6730  8.2000 
2.2679*10 1.2159  1.2500*10 1.5572  2.7369  8.2000 
2.2679*10 1.2192  1.5000*10 1.2223  2.7856  8.2000 
2.2679*10 1.2221  1.7500*10 9.9666*0.1 2.8245  8.2000 
2.2679*10 1.2247  2.0000*10 8.3551*0.1 2.8566  8.2000 
2.2679*10 1.2271  2.2500*10 7.1532*0.1 2.8838  8.2000 
2.2679*10 1.2292  2.5000*10 6.2265*0.1 2.9073  8.2000 
2.2679*10 1.2302  2.6200*10 5.8540*0.1 2.9175  8.2000 
2.2679*10 1.2312  2.7500*10 5.4927*0.1 2.9279  8.2000 
2.2679*10 1.2330  3.0000*10 4.8990*0.1 2.9461  8.2000 
2.2679*10 1.2346  3.2500*10 4.4100*0.1 2.9625  8.2000 
2.2679*10 1.2362  3.5000*10 4.0010*0.1 2.9773  8.2000 
2.2679*10 1.2377  3.7500*10 3.6546*0.1 2.9908  8.2000 
2.2695*10 1.1757  0.0000  1.6500*100 0.0000  8.3000 
2.2695*10 1.1786  1.0000  9.3819*10 1.0740  8.3000 
2.2695*10 1.2123  1.0000*10 2.0964  2.6668  8.3000 
2.2695*10 1.2162  1.2500*10 1.5562  2.7303  8.3000 
2.2695*10 1.2196  1.5000*10 1.2214  2.7787  8.3000 
2.2695*10 1.2225  1.7500*10 9.9589*0.1 2.8174  8.3000 
2.2695*10 1.2251  2.0000*10 8.3482*0.1 2.8494  8.3000 
2.2695*10 1.2274  2.2500*10 7.1471*0.1 2.8764  8.3000 
2.2695*10 1.2296  2.5000*10 6.2209*0.1 2.8998  8.3000 
2.2695*10 1.2305  2.6200*10 5.8486*0.1 2.9099  8.3000 
2.2695*10 1.2315  2.7500*10 5.4876*0.1 2.9203  8.3000 
2.2695*10 1.2333  3.0000*10 4.8943*0.1 2.9384  8.3000 
2.2695*10 1.2350  3.2500*10 4.4056*0.1 2.9547  8.3000 
2.2695*10 1.2366  3.5000*10 3.9970*0.1 2.9694  8.3000 
2.2695*10 1.2381  3.7500*10 3.6508*0.1 2.9828  8.3000 
2.2711*10 1.1758  0.0000  1.6500*100 0.0000  8.4000 
2.2711*10 1.1788  1.0000  9.3814*10 1.0722  8.4000 
2.2711*10 1.2126  1.0000*10 2.0950  2.6605  8.4000 
2.2711*10 1.2166  1.2500*10 1.5551  2.7238  8.4000 
2.2711*10 1.2199  1.5000*10 1.2205  2.7720  8.4000 
2.2711*10 1.2229  1.7500*10 9.9506*0.1 2.8104  8.4000 
2.2711*10 1.2255  2.0000*10 8.3409*0.1 2.8422  8.4000 
2.2711*10 1.2278  2.2500*10 7.1405*0.1 2.8691  8.4000 
2.2711*10 1.2300  2.5000*10 6.2150*0.1 2.8923  8.4000 
2.2711*10 1.2309  2.6200*10 5.8430*0.1 2.9024  8.4000 
2.2711*10 1.2319  2.7500*10 5.4822*0.1 2.9127  8.4000 
2.2711*10 1.2337  3.0000*10 4.8894*0.1 2.9308  8.4000 
2.2711*10 1.2354  3.2500*10 4.4010*0.1 2.9469  8.4000 
2.2711*10 1.2370  3.5000*10 3.9927*0.1 2.9616  8.4000 
2.2711*10 1.2385  3.7500*10 3.6468*0.1 2.9749  8.4000 
2.2725*10 1.1760  0.0000  1.6500*100 0.0000  8.5000 
2.2725*10 1.1789  1.0000  9.3809*10 1.0704  8.5000 
2.2725*10 1.2130  1.0000*10 2.0936  2.6543  8.5000 
2.2725*10 1.2169  1.2500*10 1.5539  2.7173  8.5000 
2.2725*10 1.2203  1.5000*10 1.2195  2.7652  8.5000 
2.2725*10 1.2232  1.7500*10 9.9420*0.1 2.8035  8.5000 
2.2725*10 1.2259  2.0000*10 8.3333*0.1 2.8351  8.5000 
2.2725*10 1.2282  2.2500*10 7.1337*0.1 2.8619  8.5000 
2.2725*10 1.2304  2.5000*10 6.2088*0.1 2.8850  8.5000 
2.2725*10 1.2313  2.6200*10 5.8370*0.1 2.8950  8.5000 
2.2725*10 1.2323  2.7500*10 5.4765*0.1 2.9052  8.5000 
2.2725*10 1.2342  3.0000*10 4.8841*0.1 2.9232  8.5000 
2.2725*10 1.2359  3.2500*10 4.3962*0.1 2.9393  8.5000 
2.2725*10 1.2374  3.5000*10 3.9882*0.1 2.9538  8.5000 
2.2725*10 1.2389  3.7500*10 3.6425*0.1 2.9671  8.5000 
2.2738*10 1.1761  0.0000  1.6500*100 0.0000  8.6000 
2.2738*10 1.1791  1.0000  9.3804*10 1.0687  8.6000 
2.2738*10 1.2133  1.0000*10 2.0921  2.6482  8.6000 
2.2738*10 1.2173  1.2500*10 1.5527  2.7108  8.6000 
2.2738*10 1.2207  1.5000*10 1.2184  2.7585  8.6000 
2.2738*10 1.2236  1.7500*10 9.9330*0.1 2.7966  8.6000 
2.2738*10 1.2263  2.0000*10 8.3253*0.1 2.8280  8.6000 
2.2738*10 1.2286  2.2500*10 7.1266*0.1 2.8547  8.6000 
2.2738*10 1.2308  2.5000*10 6.2023*0.1 2.8776  8.6000 
2.2738*10 1.2318  2.6200*10 5.8308*0.1 2.8876  8.6000 
2.2738*10 1.2328  2.7500*10 5.4706*0.1 2.8978  8.6000 
2.2738*10 1.2346  3.0000*10 4.8787*0.1 2.9156  8.6000 
2.2738*10 1.2363  3.2500*10 4.3911*0.1 2.9316  8.6000 
2.2738*10 1.2379  3.5000*10 3.9835*0.1 2.9461  8.6000 
2.2738*10 1.2394  3.7500*10 3.6381*0.1 2.9593  8.6000 
2.2750*10 1.1762  0.0000  1.6500*100 0.0000  8.7000 
2.2750*10 1.1792  1.0000  9.3799*10 1.0670  8.7000 
2.2750*10 1.2137  1.0000*10 2.0906  2.6420  8.7000 
2.2750*10 1.2177  1.2500*10 1.5514  2.7044  8.7000 
2.2750*10 1.2211  1.5000*10 1.2174  2.7518  8.7000 
2.2750*10 1.2240  1.7500*10 9.9237*0.1 2.7897  8.7000 
2.2750*10 1.2267  2.0000*10 8.3171*0.1 2.8210  8.7000 
2.2750*10 1.2291  2.2500*10 7.1191*0.1 2.8475  8.7000 
2.2750*10 1.2312  2.5000*10 6.1956*0.1 2.8704  8.7000 
2.2750*10 1.2322  2.6200*10 5.8244*0.1 2.8803  8.7000 
2.2750*10 1.2332  2.7500*10 5.4645*0.1 2.8904  8.7000 
2.2750*10 1.2350  3.0000*10 4.8730*0.1 2.9082  8.7000 
2.2750*10 1.2367  3.2500*10 4.3859*0.1 2.9241  8.7000 
2.2750*10 1.2383  3.5000*10 3.9786*0.1 2.9385  8.7000 
2.2750*10 1.2398  3.7500*10 3.6336*0.1 2.9516  8.7000 
2.2762*10 1.1764  0.0000  1.6500*100 0.0000  8.8000 
2.2762*10 1.1794  1.0000  9.3793*10 1.0652  8.8000 
2.2762*10 1.2140  1.0000*10 2.0890  2.6359  8.8000 
2.2762*10 1.2181  1.2500*10 1.5501  2.6980  8.8000 
2.2762*10 1.2215  1.5000*10 1.2163  2.7452  8.8000 
2.2762*10 1.2245  1.7500*10 9.9140*0.1 2.7829  8.8000 
2.2762*10 1.2271  2.0000*10 8.3085*0.1 2.8141  8.8000 
2.2762*10 1.2295  2.2500*10 7.1115*0.1 2.8405  8.8000 
2.2762*10 1.2317  2.5000*10 6.1887*0.1 2.8632  8.8000 
2.2762*10 1.2327  2.6200*10 5.8178*0.1 2.8731  8.8000 
2.2762*10 1.2337  2.7500*10 5.4582*0.1 2.8831  8.8000 
2.2762*10 1.2355  3.0000*10 4.8672*0.1 2.9008  8.8000 
2.2762*10 1.2372  3.2500*10 4.3805*0.1 2.9167  8.8000 
2.2762*10 1.2388  3.5000*10 3.9736*0.1 2.9310  8.8000 
2.2762*10 1.2403  3.7500*10 3.6289*0.1 2.9440  8.8000 
2.2773*10 1.1766  0.0000  1.6500*100 0.0000  8.9000 
2.2773*10 1.1796  1.0000  9.3787*10 1.0635  8.9000 
2.2773*10 1.2144  1.0000*10 2.0873  2.6299  8.9000 
2.2773*10 1.2185  1.2500*10 1.5488  2.6917  8.9000 
2.2773*10 1.2219  1.5000*10 1.2151  2.7387  8.9000 
2.2773*10 1.2249  1.7500*10 9.9041*0.1 2.7762  8.9000 
2.2773*10 1.2276  2.0000*10 8.2998*0.1 2.8072  8.9000 
2.2773*10 1.2300  2.2500*10 7.1036*0.1 2.8335  8.9000 
2.2773*10 1.2321  2.5000*10 6.1816*0.1 2.8561  8.9000 
2.2773*10 1.2331  2.6200*10 5.8110*0.1 2.8659  8.9000 
2.2773*10 1.2341  2.7500*10 5.4517*0.1 2.8759  8.9000 
2.2773*10 1.2360  3.0000*10 4.8612*0.1 2.8935  8.9000 
2.2773*10 1.2377  3.2500*10 4.3750*0.1 2.9093  8.9000 
2.2773*10 1.2393  3.5000*10 3.9684*0.1 2.9235  8.9000 
2.2773*10 1.2408  3.7500*10 3.6241*0.1 2.9365  8.9000 
2.2783*10 1.1767  0.0000  1.6500*100 0.0000  9.0000 
2.2783*10 1.1798  1.0000  9.3781*10 1.0617  9.0000 
2.2783*10 1.2148  1.0000*10 2.0857  2.6239  9.0000 
2.2783*10 1.2189  1.2500*10 1.5474  2.6854  9.0000 
2.2783*10 1.2223  1.5000*10 1.2139  2.7322  9.0000 
2.2783*10 1.2253  1.7500*10 9.8939*0.1 2.7696  9.0000 
2.2783*10 1.2280  2.0000*10 8.2908*0.1 2.8004  9.0000 
2.2783*10 1.2304  2.2500*10 7.0956*0.1 2.8265  9.0000 
2.2783*10 1.2326  2.5000*10 6.1743*0.1 2.8491  9.0000 
2.2783*10 1.2336  2.6200*10 5.8040*0.1 2.8588  9.0000 
2.2783*10 1.2346  2.7500*10 5.4450*0.1 2.8688  9.0000 
2.2783*10 1.2365  3.0000*10 4.8551*0.1 2.8863  9.0000 
2.2783*10 1.2382  3.2500*10 4.3693*0.1 2.9020  9.0000 
2.2783*10 1.2398  3.5000*10 3.9631*0.1 2.9162  9.0000 
2.2783*10 1.2413  3.7500*10 3.6191*0.1 2.9291  9.0000 
2.2792*10 1.1769  0.0000  1.6500*100 0.0000  9.1000 
2.2792*10 1.1800  1.0000  9.3774*10 1.0600  9.1000 
2.2792*10 1.2152  1.0000*10 2.0839  2.6180  9.1000 
2.2792*10 1.2193  1.2500*10 1.5460  2.6792  9.1000 
2.2792*10 1.2228  1.5000*10 1.2127  2.7258  9.1000 
2.2792*10 1.2258  1.7500*10 9.8835*0.1 2.7630  9.1000 
2.2792*10 1.2285  2.0000*10 8.2816*0.1 2.7937  9.1000 
2.2792*10 1.2309  2.2500*10 7.0874*0.1 2.8197  9.1000 
2.2792*10 1.2331  2.5000*10 6.1668*0.1 2.8421  9.1000 
2.2792*10 1.2341  2.6200*10 5.7969*0.1 2.8518  9.1000 
2.2792*10 1.2351  2.7500*10 5.4382*0.1 2.8617  9.1000 
2.2792*10 1.2370  3.0000*10 4.8488*0.1 2.8792  9.1000 
2.2792*10 1.2387  3.2500*10 4.3635*0.1 2.8948  9.1000 
2.2792*10 1.2403  3.5000*10 3.9578*0.1 2.9089  9.1000 
2.2792*10 1.2418  3.7500*10 3.6141*0.1 2.9217  9.1000 
2.2801*10 1.1771  0.0000  1.6500*100 0.0000  9.2000 
2.2801*10 1.1802  1.0000  9.3768*10 1.0583  9.2000 
2.2801*10 1.2156  1.0000*10 2.0822  2.6121  9.2000 
2.2801*10 1.2197  1.2500*10 1.5446  2.6731  9.2000 
2.2801*10 1.2232  1.5000*10 1.2115  2.7194  9.2000 
2.2801*10 1.2263  1.7500*10 9.8729*0.1 2.7565  9.2000 
2.2801*10 1.2290  2.0000*10 8.2722*0.1 2.7870  9.2000 
2.2801*10 1.2314  2.2500*10 7.0790*0.1 2.8129  9.2000 
2.2801*10 1.2336  2.5000*10 6.1593*0.1 2.8352  9.2000 
2.2801*10 1.2346  2.6200*10 5.7896*0.1 2.8449  9.2000 
2.2801*10 1.2356  2.7500*10 5.4313*0.1 2.8548  9.2000 
2.2801*10 1.2375  3.0000*10 4.8425*0.1 2.8721  9.2000 
2.2801*10 1.2392  3.2500*10 4.3576*0.1 2.8876  9.2000 
2.2801*10 1.2408  3.5000*10 3.9523*0.1 2.9017  9.2000 
2.2801*10 1.2423  3.7500*10 3.6090*0.1 2.9144  9.2000 
2.2809*10 1.1773  0.0000  1.6500*100 0.0000  9.3000 
2.2809*10 1.1804  1.0000  9.3761*10 1.0566  9.3000 
2.2809*10 1.2161  1.0000*10 2.0804  2.6062  9.3000 
2.2809*10 1.2202  1.2500*10 1.5431  2.6670  9.3000 
2.2809*10 1.2237  1.5000*10 1.2103  2.7132  9.3000 
2.2809*10 1.2267  1.7500*10 9.8622*0.1 2.7500  9.3000 
2.2809*10 1.2294  2.0000*10 8.2627*0.1 2.7805  9.3000 
2.2809*10 1.2319  2.2500*10 7.0705*0.1 2.8062  9.3000 
2.2809*10 1.2341  2.5000*10 6.1516*0.1 2.8284  9.3000 
2.2809*10 1.2351  2.6200*10 5.7823*0.1 2.8381  9.3000 
2.2809*10 1.2361  2.7500*10 5.4242*0.1 2.8479  9.3000 
2.2809*10 1.2380  3.0000*10 4.8360*0.1 2.8651  9.3000 
2.2809*10 1.2397  3.2500*10 4.3516*0.1 2.8806  9.3000 
2.2809*10 1.2413  3.5000*10 3.9467*0.1 2.8945  9.3000 
2.2809*10 1.2428  3.7500*10 3.6038*0.1 2.9073  9.3000 
2.2817*10 1.1774  0.0000  1.6500*100 0.0000  9.4000 
2.2817*10 1.1806  1.0000  9.3754*10 1.0549  9.4000 
2.2817*10 1.2165  1.0000*10 2.0786  2.6004  9.4000 
2.2817*10 1.2206  1.2500*10 1.5416  2.6609  9.4000 
2.2817*10 1.2241  1.5000*10 1.2090  2.7069  9.4000 
2.2817*10 1.2272  1.7500*10 9.8512*0.1 2.7436  9.4000 
2.2817*10 1.2299  2.0000*10 8.2531*0.1 2.7739  9.4000 
2.2817*10 1.2324  2.2500*10 7.0618*0.1 2.7996  9.4000 
2.2817*10 1.2346  2.5000*10 6.1437*0.1 2.8217  9.4000 
2.2817*10 1.2356  2.6200*10 5.7748*0.1 2.8313  9.4000 
2.2817*10 1.2366  2.7500*10 5.4171*0.1 2.8411  9.4000 
2.2817*10 1.2385  3.0000*10 4.8295*0.1 2.8582  9.4000 
2.2817*10 1.2402  3.2500*10 4.3456*0.1 2.8736  9.4000 
2.2817*10 1.2418  3.5000*10 3.9411*0.1 2.8875  9.4000 
2.2817*10 1.2433  3.7500*10 3.5985*0.1 2.9002  9.4000 
2.2824*10 1.1776  0.0000  1.6500*100 0.0000  9.5000 
2.2824*10 1.1808  1.0000  9.3748*10 1.0532  9.5000 
2.2824*10 1.2169  1.0000*10 2.0768  2.5947  9.5000 
2.2824*10 1.2211  1.2500*10 1.5401  2.6550  9.5000 
2.2824*10 1.2246  1.5000*10 1.2078  2.7008  9.5000 
2.2824*10 1.2277  1.7500*10 9.8402*0.1 2.7373  9.5000 
2.2824*10 1.2304  2.0000*10 8.2433*0.1 2.7675  9.5000 
2.2824*10 1.2329  2.2500*10 7.0531*0.1 2.7930  9.5000 
2.2824*10 1.2351  2.5000*10 6.1358*0.1 2.8150  9.5000 
2.2824*10 1.2361  2.6200*10 5.7672*0.1 2.8246  9.5000 
2.2824*10 1.2371  2.7500*10 5.4099*0.1 2.8343  9.5000 
2.2824*10 1.2390  3.0000*10 4.8228*0.1 2.8514  9.5000 
2.2824*10 1.2407  3.2500*10 4.3394*0.1 2.8667  9.5000 
2.2824*10 1.2423  3.5000*10 3.9354*0.1 2.8805  9.5000 
2.2824*10 1.2439  3.7500*10 3.5932*0.1 2.8931  9.5000 
